"Marca temporal","1. ¿Con qué frecuencia recibes dinero?","2. ¿Cuánto dinero recibes aproximadamente a la semana?","3. ¿Tienes algún trabajo o actividad remunerada?","4. ¿En qué gastas MÁS tu dinero?","5. ¿Cuánto gastas a la semana en comida fuera de casa?","6. ¿Cuánto gastas a la semana en transporte?","7. ¿Compras cosas por impulso sin necesidad real?","8. ¿Qué tan probable es que ahorres tu dinero destinado para la semana?","9. Si ahorras, ¿qué porcentaje de tus ingresos guardas aproximadamente?(0-100%)","10. ¿Te alcanza el dinero para cubrir tus necesidades habituales?","11. ¿Te fijas en los precios o comparas antes de comprar?","12. ¿Alguna vez has elaborado un presupuesto para administrar tus gastos?"
"2026/09/06 1:36:40 p.m. GMT-6","Semanalmente","Menos de $200 MXN","No, solo recibo apoyo de mi familia/beca","Transporte","Menos de $150 MXN","Menos de $100 MXN","Nunca","Sí, de vez en cuando (cuando sobra)","Menos del 10%","Sí, justo a la medida","Nunca","Nunca lo he intentado"
"2026/09/06 1:48:56 p.m. GMT-6","Quincenalmente","Más de $1,000 MXN","Sí, trabajo formal o medio tiempo","Ropa o uso personal","Entre $150 y $300 MXN","Entre $100 y $250 MXN","Rara vez","Sí, de forma constante","Más del 25%","Rara vez me alcanza","Siempre","Sí, pero no suelo seguirlo"
"2026/09/06 1:53:12 p.m. GMT-6","Semanalmente","Entre $501 y $1,000 MXN","No, solo recibo apoyo de mi familia/beca","Transporte","Menos de $150 MXN","Más de $250 MXN","Rara vez","Sí, de vez en cuando (cuando sobra)","Menos del 10%","Sí, y me sobra","Siempre","Nunca lo he intentado"
"2026/09/06 1:54:00 p.m. GMT-6","No tengo un ingreso regular","Menos de $200 MXN","No, solo recibo apoyo de mi familia/beca","Transporte","$0 MXN (Suelo comer en casa o llevar comida)","Entre $100 y $250 MXN","Rara vez","Sí, de forma constante","Entre el 10% y el 25%","Rara vez me alcanza","A veces","Nunca lo he intentado"
"2026/09/06 1:57:49 p.m. GMT-6","Semanalmente","Entre $501 y $1,000 MXN","Sí, trabajo formal o medio tiempo","Ropa o uso personal","Menos de $150 MXN","Entre $100 y $250 MXN","Rara vez","Sí, de forma constante","Entre el 10% y el 25%","Sí, y me sobra","Siempre","Nunca lo he intentado"
"2026/09/06 2:01:21 p.m. GMT-6","Semanalmente","Menos de $200 MXN","Sí, emprendimiento propio o ventas","Transporte","Menos de $150 MXN","Entre $100 y $250 MXN","Frecuentemente","Sí, de vez en cuando (cuando sobra)","Entre el 10% y el 25%","Rara vez me alcanza","Siempre","Sí, pero no suelo seguirlo"
"2026/09/06 2:03:42 p.m. GMT-6","Semanalmente","Entre $200 y $500 MXN","No, solo recibo apoyo de mi familia/beca","Ropa o uso personal","Menos de $150 MXN","Menos de $100 MXN","Rara vez","Sí, de vez en cuando (cuando sobra)","Menos del 10%","Sí, justo a la medida","A veces","Sí, pero no suelo seguirlo"
"2026/09/06 2:05:17 p.m. GMT-6","Semanalmente","Entre $501 y $1,000 MXN","Sí, trabajo formal o medio tiempo","Materiales escolares / estudios","$0 MXN (Suelo comer en casa o llevar comida)","Entre $100 y $250 MXN","Rara vez","Sí, de vez en cuando (cuando sobra)","Entre el 10% y el 25%","Sí, y me sobra","Siempre","Sí, y lo sigo regularmente"
"2026/09/06 2:05:52 p.m. GMT-6","Semanalmente","Menos de $200 MXN","No, solo recibo apoyo de mi familia/beca","Transporte","$0 MXN (Suelo comer en casa o llevar comida)","Entre $100 y $250 MXN","Rara vez","Sí, de vez en cuando (cuando sobra)","Menos del 10%","Sí, justo a la medida","Siempre","Sí, y lo sigo regularmente"
"2026/09/06 2:13:42 p.m. GMT-6","Mensualmente","Menos de $200 MXN","Sí, emprendimiento propio o ventas","Comida y snacks","Menos de $150 MXN","Menos de $100 MXN","Nunca","No ahorro","Menos del 10%","Sí, y me sobra","Nunca","Nunca lo he intentado"
